StartToll,ExitToll,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
Ghatkesar,Tukkuguda,90,110,130,150,170,180,210
Ghatkesar,Sultanpur,110,110,130,150,170,180,210
Bongulur,Ghatkesar,60,110,130,150,170,180,210
Ghatkesar,Nanakramguda,170,110,130,150,170,180,210
Ghatkesar,Raviryal,70,110,130,150,170,180,210
Ghatkesar,Saragudem,90,110,130,150,170,180,210
Ghatkesar,Shamshabad,120,110,130,150,170,180,210
Ghatkesar,Taramatipet,20,110,130,150,170,180,210
Ghatkesar,Rajendra Nagar,150,110,130,150,170,180,210
Edulanagulapally,Ghatkesar,160,110,130,150,170,180,210
Ghatkesar,Medchal,60,110,130,150,170,180,210
Ghatkesar,Kandlakoya,60,110,130,150,170,180,210
Ghatkesar,Keesara,20,110,130,150,170,180,210
Ghatkesar,TSPA,150,110,130,150,170,180,210
Ghatkesar,Kokapet,170,110,130,150,170,180,210
Ghatkesar,Patancheru,140,110,130,150,170,180,210
Ghatkesar,Pedda Amberpet,40,110,130,150,170,180,210
Ghatkesar,Pedda Golconda,110,110,130,150,170,180,210
Ghatkesar,Shamirpet,50,110,130,150,170,180,210
Ghatkesar,Tukkuguda,90,110,130,150,170,180,210
Sultanpur,Tukkuguda,150,110,130,150,170,180,210
Bongulur,Tukkuguda,30,110,130,150,170,180,210
Nanakramguda,Tukkuguda,90,110,130,150,170,180,210
Raviryal,Tukkuguda,10,110,130,150,170,180,210
Saragudem,Tukkuguda,170,110,130,150,170,180,210
Shamshabad,Tukkuguda,30,110,130,150,170,180,210
Taramatipet,Tukkuguda,70,110,130,150,170,180,210
Rajendra Nagar,Tukkuguda,50,110,130,150,170,180,210
Edulanagulapally,Tukkuguda,110,110,130,150,170,180,210
Medchal,Tukkuguda,160,110,130,150,170,180,210
Kandlakoya,Tukkuguda,150,110,130,150,170,180,210
Keesara,Tukkuguda,110,110,130,150,170,180,210
TSPA,Tukkuguda,60,110,130,150,170,180,210
Kokapet,Tukkuguda,70,110,130,150,170,180,210
Patancheru,Tukkuguda,120,110,130,150,170,180,210
Pedda Amberpet,Tukkuguda,60,110,130,150,170,180,210
Pedda Golconda,Tukkuguda,20,110,130,150,170,180,210
Shamirpet,Tukkuguda,140,110,130,150,170,180,210
Ghatkesar,Sultanpur,110,110,130,150,170,180,210
Sultanpur,Tukkuguda,150,110,130,150,170,180,210
Bongulur,Sultanpur,170,110,130,150,170,180,210
Nanakramguda,Sultanpur,90,110,130,150,170,180,210
Raviryal,Sultanpur,160,110,130,150,170,180,210
Saragudem,Sultanpur,30,110,130,150,170,180,210
Shamshabad,Sultanpur,110,110,130,150,170,180,210
Sultanpur,Taramatipet,140,110,130,150,170,180,210
Rajendra Nagar,Sultanpur,90,110,130,150,170,180,210
Edulanagulapally,Sultanpur,40,110,130,150,170,180,210
Medchal,Sultanpur,50,110,130,150,170,180,210
Kandlakoya,Sultanpur,230,110,130,150,170,180,210
Keesara,Sultanpur,100,110,130,150,170,180,210
Sultanpur,TSPA,90,110,130,150,170,180,210
Kokapet,Sultanpur,60,110,130,150,170,180,210
Patancheru,Sultanpur,20,110,130,150,170,180,210
Pedda Amberpet,Sultanpur,150,110,130,150,170,180,210
Pedda Golconda,Sultanpur,120,110,130,150,170,180,210
Shamirpet,Sultanpur,70,110,130,150,170,180,210
Bongulur,Ghatkesar,60,110,130,150,170,180,210
Bongulur,Tukkuguda,30,110,130,150,170,180,210
Bongulur,Sultanpur,170,110,130,150,170,180,210
Bongulur,Nanakramguda,110,110,130,150,170,180,210
Bongulur,Raviryal,20,110,130,150,170,180,210
Bongulur,Saragudem,150,110,130,150,170,180,210
Bongulur,Shamshabad,60,110,130,150,170,180,210
Bongulur,Taramatipet,40,110,130,150,170,180,210
Bongulur,Rajendra Nagar,90,110,130,150,170,180,210
Bongulur,Edulanagulapally,140,110,130,150,170,180,210
Bongulur,Medchal,140,110,130,150,170,180,210
Bongulur,Kandlakoya,120,110,130,150,170,180,210
Bongulur,Keesara,90,110,130,150,170,180,210
Bongulur,TSPA,90,110,130,150,170,180,210
Bongulur,Kokapet,110,110,130,150,170,180,210
Bongulur,Patancheru,160,110,130,150,170,180,210
Bongulur,Pedda Amberpet,30,110,130,150,170,180,210
Bongulur,Pedda Golconda,50,110,130,150,170,180,210
Bongulur,Shamirpet,110,110,130,150,170,180,210
Ghatkesar,Nanakramguda,170,110,130,150,170,180,210
Nanakramguda,Tukkuguda,90,110,130,150,170,180,210
Nanakramguda,Sultanpur,90,110,130,150,170,180,210
Bongulur,Nanakramguda,110,110,130,150,170,180,210
Nanakramguda,Raviryal,100,110,130,150,170,180,210
Nanakramguda,Saragudem,110,110,130,150,170,180,210
Nanakramguda,Shamshabad,50,110,130,150,170,180,210
Nanakramguda,Taramatipet,160,110,130,150,170,180,210
Nanakramguda,Rajendra Nagar,40,110,130,150,170,180,210
