StartToll,ExitToll,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single,,,,,,,,,,,,,
Ghatkesar,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Sultanpur,110,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Ghatkesar,60,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Nanakramguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Raviryal,70,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Saragudem,90,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Shamshabad,120,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Taramatipet,20,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Rajendra Nagar,150,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Ghatkesar,160,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Medchal,60,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Kandlakoya,60,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Keesara,20,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,TSPA,150,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Kokapet,170,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Patancheru,140,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Pedda Amberpet,40,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Pedda Golconda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Shamirpet,50,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,Tukkuguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Tukkuguda,30,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Tukkuguda,10,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Tukkuguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Tukkuguda,30,0,0,0,0,0,0,,,,,,,,,,,,,
Taramatipet,Tukkuguda,70,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Tukkuguda,50,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Tukkuguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Tukkuguda,160,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Tukkuguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Tukkuguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
TSPA,Tukkuguda,60,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Tukkuguda,70,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Tukkuguda,120,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Tukkuguda,60,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Tukkuguda,20,0,0,0,0,0,0,,,,,,,,,,,,,
Shamirpet,Tukkuguda,140,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Sultanpur,110,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,Tukkuguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Sultanpur,170,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Sultanpur,90,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Sultanpur,160,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Sultanpur,30,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Sultanpur,110,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,Taramatipet,140,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Sultanpur,90,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Sultanpur,40,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Sultanpur,50,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Sultanpur,230,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Sultanpur,100,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,TSPA,90,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Sultanpur,60,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Sultanpur,20,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Sultanpur,150,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Sultanpur,120,0,0,0,0,0,0,,,,,,,,,,,,,
Shamirpet,Sultanpur,70,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Ghatkesar,60,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Tukkuguda,30,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Sultanpur,170,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Nanakramguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Raviryal,20,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Saragudem,150,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Shamshabad,60,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Taramatipet,40,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Rajendra Nagar,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Edulanagulapally,140,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Medchal,140,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Kandlakoya,120,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Keesara,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,TSPA,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Kokapet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Patancheru,160,0,0,0,0,0,0,,,,,,,,,,,,,
