plaza_code,Tollname,Latitude,Longitude,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
244000,Lakshmipur (Eighteen Mile ),24.82246724,87.96696231,140.0,220.0,450.0,695.0,695.0,695.0,880.0
320053,Aaini,27.2970385,81.5438792,45.0,70.0,150.0,165.0,235.0,235.0,285.0
320109,Aashpur,27.4865952,78.79223327,85.0,140.0,290.0,320.0,460.0,460.0,560.0
350045,Abul Khurana Toll Plaza,30.12073068,74.55357538,35.0,55.0,115.0,125.0,180.0,180.0,220.0
352028,Aganampudi,17.68555742,83.14999328,65.0,105.0,220.0,240.0,345.0,345.0,420.0
187002,Ahmadpur,26.858351,81.422451,115.0,185.0,395.0,430.0,615.0,615.0,750.0
320065,Aihar,26.19803478,81.03297224,60.0,100.0,205.0,225.0,325.0,325.0,395.0
320094,Aindhi,26.24579394,81.5938669,75.0,120.0,250.0,275.0,395.0,395.0,480.0
189001,Ait,25.87997469,79.21039642,125.0,200.0,415.0,455.0,650.0,650.0,795.0
330100,Akhepura,27.508121,75.344381,70.0,115.0,240.0,265.0,380.0,380.0,460.0
320090,Akshda,26.70240427,82.67456529,50.0,80.0,170.0,185.0,270.0,270.0,330.0
536078,Akwabad,26.33948595,80.70567673,115.0,185.0,390.0,425.0,610.0,610.0,745.0
215001,Aliyapur,26.06978,80.163008,50.0,85.0,180.0,280.0,280.0,280.0,340.0
352026,Amakathadu,15.486433,77.901078,135.0,220.0,455.0,495.0,715.0,715.0,870.0
14001,Dappar,30.527449,76.813037,50.0,90.0,175.0,280.0,280.0,375.0,280.0
320093,Amdi,26.36822609,82.88663055,100.0,165.0,345.0,375.0,535.0,535.0,655.0
163002,Amoli,27.10131055,77.0909122,55.0,95.0,190.0,310.0,310.0,310.0,310.0
536081,Amora Moiddinpur,25.97900556,83.05666019,110.0,180.0,375.0,410.0,590.0,590.0,715.0
28002,Anantram,26.59482242,79.26809734,110.0,175.0,365.0,395.0,570.0,570.0,695.0
320028,Andhiyari,25.61405685,81.64060054,70.0,115.0,240.0,375.0,375.0,375.0,460.0
61001,Anewadi,17.80926299,73.97202069,80.0,130.0,270.0,425.0,425.0,425.0,515.0
340046,Ankadhal Toll Plaza,17.35948796,75.07951079,105.0,175.0,360.0,395.0,570.0,570.0,690.0
352067,Annampalli,16.67226224,82.14738899,60.0,95.0,205.0,225.0,320.0,320.0,390.0
142002,Arjunali,19.3613155,73.16583529,140.0,245.0,490.0,785.0,785.0,785.0,785.0
330096,Aroli,25.09115801,75.1990625,80.0,125.0,265.0,290.0,415.0,415.0,505.0
85001,Asanpur,26.297778,86.632891,110.0,175.0,365.0,400.0,570.0,570.0,695.0
340030,Ashiv,18.1278333,76.3583021,100.0,165.0,345.0,375.0,540.0,540.0,655.0
536088,Ashta Toll Plaza,18.46957857,76.751405,95.0,155.0,325.0,355.0,510.0,510.0,625.0
320076,Asroga,26.30445912,81.94077941,110.0,175.0,370.0,405.0,580.0,580.0,705.0
360030,Athur (Tindivanam),12.346862,79.779856,70.0,115.0,240.0,260.0,375.0,375.0,455.0
320132,Atraila Shiv Ghulam,24.96662555,82.287988,110.0,180.0,375.0,405.0,585.0,585.0,710.0
35002,Attibele (BETPL),12.776883,77.777119,35.0,60.0,125.0,255.0,255.0,255.0,255.0
380032,Babhniyawan Toll Plaza,25.49835348,84.48828195,75.0,120.0,250.0,275.0,395.0,395.0,480.0
320067,Babina,25.216966,78.464471,120.0,195.0,405.0,445.0,635.0,635.0,775.0
314028,Bachhuan,31.0144456,76.3893302,65.0,105.0,225.0,245.0,350.0,350.0,425.0
320110,Badagawn,27.50572223,82.37480031,25.0,40.0,85.0,90.0,130.0,130.0,160.0
349014,Badayiguda,19.16139161,81.98476493,55.0,90.0,195.0,210.0,305.0,305.0,370.0
320060,Badauri,26.06503076,80.65844505,125.0,200.0,420.0,455.0,655.0,655.0,800.0
352031,Badava,16.85045672,80.63361089,70.0,115.0,245.0,265.0,385.0,385.0,465.0
314015,Badbar,30.24780444,75.64051676,105.0,170.0,360.0,390.0,565.0,565.0,685.0
340028,Badewadi,19.17313029,75.34255558,45.0,75.0,155.0,170.0,245.0,245.0,300.0
330114,Badighati,26.54750061,74.50665175,60.0,100.0,205.0,225.0,320.0,320.0,390.0
312002,Badopatti,29.29924857,75.81985716,120.0,190.0,400.0,440.0,630.0,630.0,765.0
330116,Bagaliya,25.8844734,74.16077894,45.0,70.0,150.0,235.0,235.0,235.0,285.0
356017,Bagepalli,13.79297182,77.76432468,115.0,190.0,395.0,430.0,620.0,620.0,755.0
330117,Baggad,25.59063731,73.90303597,45.0,70.0,150.0,235.0,235.0,235.0,290.0
536007,Bagodara (MoRTH),22.63075214,72.17932933,20.0,37.5,75.0,75.0,75.0,84.0,84.0
545097,Bagwada,22.78157249,77.73204558,115.0,185.0,385.0,420.0,605.0,605.0,740.0
570041,Bahala Toll Plaza,27.5274196,76.71721136,40.0,60.0,130.0,140.0,205.0,205.0,245.0
536049,Baharagaon,22.31516405,77.24985682,90.0,140.0,295.0,325.0,465.0,465.0,565.0
345068,Bahoripar (Khursi),23.0469205,79.90749709,155.0,250.0,525.0,575.0,825.0,825.0,1005.0
350043,Baiti Kala Toll Plaza,26.054337,82.339392,130.0,210.0,440.0,480.0,695.0,695.0,845.0
378011,Balachera,24.94652119,92.75614312,45.0,70.0,145.0,155.0,225.0,225.0,275.0
330121,Balana,25.29335093,73.08558211,35.0,55.0,110.0,125.0,175.0,175.0,215.0
320137,Baleni,28.959399,77.44327627,45.0,75.0,155.0,170.0,240.0,240.0,295.0
380019,Balgudar,25.202348,86.081872,60.0,95.0,200.0,220.0,315.0,315.0,380.0
370015,Balibhasa,22.34470672,87.12600473,90.0,145.0,305.0,335.0,480.0,480.0,585.0
314038,Balluana,30.22752818,74.76368384,60.0,95.0,200.0,215.0,310.0,310.0,380.0
536006,Bamanbore (MoRTH),22.42299427,71.08873449,20.0,37.5,75.0,84.0,111.0,112.8,132.8
520035,Bamhori Kurmin,25.3571217,79.42811308,40.0,60.0,130.0,140.0,205.0,205.0,245.0
312066,Bamla,28.80476538,76.22314423,45.0,75.0,160.0,175.0,250.0,250.0,305.0
375019,Banajodi (Padmapur),21.70996763,85.58364216,90.0,145.0,310.0,335.0,485.0,485.0,590.0
352045,Bandaplli,14.131169,78.75682,55.0,90.0,185.0,205.0,295.0,295.0,355.0
352063,Bandlapalli,13.33628313,78.61307614,55.0,85.0,180.0,195.0,280.0,280.0,340.0
356016,Bankapur,14.91038838,75.27926591,55.0,85.0,180.0,200.0,285.0,285.0,350.0
318004,Bann,32.83905417,74.94037489,170.0,275.0,585.0,635.0,910.0,910.0,1110.0
