plaza_code,Tollname,Latitude,Longitude,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
244000,Lakshmipur (Eighteen Mile ),24.82246724,87.96696231,140,220,450,695,695,695,880
320053,Aaini,27.2970385,81.5438792,45,70,150,165,235,235,285
320109,Aashpur,27.4865952,78.79223327,85,140,290,320,460,460,560
350045,Abul Khurana Toll Plaza,30.12073068,74.55357538,35,55,115,125,180,180,220
352028,Aganampudi,17.68555742,83.14999328,65,105,220,240,345,345,420
187002,Ahmadpur,26.858351,81.422451,115,185,395,430,615,615,750
320065,Aihar,26.19803478,81.03297224,60,100,205,225,325,325,395
320094,Aindhi,26.24579394,81.5938669,75,120,250,275,395,395,480
189001,Ait,25.87997469,79.21039642,125,200,415,455,650,650,795
330100,Akhepura,27.508121,75.344381,70,115,240,265,380,380,460
320090,Akshda,26.70240427,82.67456529,50,80,170,185,270,270,330
536078,Akwabad,26.33948595,80.70567673,115,185,390,425,610,610,745
215001,Aliyapur,26.06978,80.163008,50,85,180,280,280,280,340
352026,Amakathadu,15.486433,77.901078,135,220,455,495,715,715,870
14001,Dappar,30.527449,76.813037,50,90,175,280,280,375,280
320093,Amdi,26.36822609,82.88663055,100,165,345,375,535,535,655
163002,Amoli,27.10131055,77.0909122,55,95,190,310,310,310,310
536081,Amora Moiddinpur,25.97900556,83.05666019,110,180,375,410,590,590,715
28002,Anantram,26.59482242,79.26809734,110,175,365,395,570,570,695
320028,Andhiyari,25.61405685,81.64060054,70,115,240,375,375,375,460
61001,Anewadi,17.80926299,73.97202069,80,130,270,425,425,425,515
340046,Ankadhal Toll Plaza,17.35948796,75.07951079,105,175,360,395,570,570,690
352067,Annampalli,16.67226224,82.14738899,60,95,205,225,320,320,390
142002,Arjunali,19.3613155,73.16583529,140,245,490,785,785,785,785
330096,Aroli,25.09115801,75.1990625,80,125,265,290,415,415,505
85001,Asanpur,26.297778,86.632891,110,175,365,400,570,570,695
340030,Ashiv,18.1278333,76.3583021,100,165,345,375,540,540,655
536088,Ashta Toll Plaza,18.46957857,76.751405,95,155,325,355,510,510,625
320076,Asroga,26.30445912,81.94077941,110,175,370,405,580,580,705
360030,Athur (Tindivanam),12.346862,79.779856,70,115,240,260,375,375,455
320132,Atraila Shiv Ghulam,24.96662555,82.287988,110,180,375,405,585,585,710
35002,Attibele (BETPL),12.776883,77.777119,35,60,125,255,255,255,255
380032,Babhniyawan Toll Plaza,25.49835348,84.48828195,75,120,250,275,395,395,480
320067,Babina,25.216966,78.464471,120,195,405,445,635,635,775
314028,Bachhuan,31.0144456,76.3893302,65,105,225,245,350,350,425
320110,Badagawn,27.50572223,82.37480031,25,40,85,90,130,130,160
349014,Badayiguda,19.16139161,81.98476493,55,90,195,210,305,305,370
320060,Badauri,26.06503076,80.65844505,125,200,420,455,655,655,800
352031,Badava,16.85045672,80.63361089,70,115,245,265,385,385,465
314015,Badbar,30.24780444,75.64051676,105,170,360,390,565,565,685
340028,Badewadi,19.17313029,75.34255558,45,75,155,170,245,245,300
330114,Badighati,26.54750061,74.50665175,60,100,205,225,320,320,390
312002,Badopatti,29.29924857,75.81985716,120,190,400,440,630,630,765
330116,Bagaliya,25.8844734,74.16077894,45,70,150,235,235,235,285
356017,Bagepalli,13.79297182,77.76432468,115,190,395,430,620,620,755
330117,Baggad,25.59063731,73.90303597,45,70,150,235,235,235,290
536007,Bagodara (MoRTH),22.63075214,72.17932933,20,37.5,75,75,75,84,84
545097,Bagwada,22.78157249,77.73204558,115,185,385,420,605,605,740
570041,Bahala Toll Plaza,27.5274196,76.71721136,40,60,130,140,205,205,245
536049,Baharagaon,22.31516405,77.24985682,90,140,295,325,465,465,565
345068,Bahoripar (Khursi),23.0469205,79.90749709,155,250,525,575,825,825,1005
350043,Baiti Kala Toll Plaza,26.054337,82.339392,130,210,440,480,695,695,845
378011,Balachera,24.94652119,92.75614312,45,70,145,155,225,225,275
330121,Balana,25.29335093,73.08558211,35,55,110,125,175,175,215
320137,Baleni,28.959399,77.44327627,45,75,155,170,240,240,295
380019,Balgudar,25.202348,86.081872,60,95,200,220,315,315,380
370015,Balibhasa,22.34470672,87.12600473,90,145,305,335,480,480,585
314038,Balluana,30.22752818,74.76368384,60,95,200,215,310,310,380
536006,Bamanbore (MoRTH),22.42299427,71.08873449,20,37.5,75,84,,,
520035,Bamhori Kurmin,25.3571217,79.42811308,40,60,130,140,205,205,245
312066,Bamla,28.80476538,76.22314423,45,75,160,175,250,250,305
375019,Banajodi (Padmapur),21.70996763,85.58364216,90,145,310,335,485,485,590
352045,Bandaplli,14.131169,78.75682,55,90,185,205,295,295,355
352063,Bandlapalli,13.33628313,78.61307614,55,85,180,195,280,280,340
356016,Bankapur,14.91038838,75.27926591,55,85,180,200,285,285,350
318004,Bann,32.83905417,74.94037489,170,275,585,635,910,910,1110
370001,Banskopa,23.49109762,87.37652683,85,140,290,320,455,455,555
330069,Banthadi,27.26231496,74.34703102,60,95,200,220,315,315,380
326005,Banushi,28.93231765,79.92939799,40,65,140,150,220,220,265
320070,Bara,26.6295419,81.33314163,105,170,350,385,550,550,670
370036,Barai Toll Plaza,25.670914,88.080268,80,125,265,,415,415,505
28001,Barajore (Bara),26.38549647,80.01900806,180,280,570,625,875,875,1110
345036,Baretha (MoRTH),26.320813,78.272572,70,115,245,265,385,385,470
125003,Jajau (Old Baretha),26.932005,77.933357,90,145,300,325,470,470,570
31001,Barkheda (Chandlai),26.68816,75.904726,120,190,395,610,610,610,765
545039,Bakoli,22.81737874,75.84916948,155,245,515,565,810,810,985
201002,Baros,27.335508,78.031048,35,55,120,185,185,185,225
330126,Barsalpur,28.0478631,72.34968337,65,105,220,240,345,345,420
380017,Barsoni,25.804725,87.590748,70,165,235,255,365,365,445
352037,Basapuram,14.70832008,78.87243011,45,75,155,170,245,245,295
520038,Basheerapur Toll Plaza,27.073778,79.84339,120,195,415,450,650,650,790
